uf,contagem,ano,categoria
Rio Grande do Sul,100.0,2023,inundação
Amazonas,71.0,2023,inundação
Acre,61.0,2023,inundação
Alagoas,26.0,2023,inundação
Santa Catarina,21.0,2023,inundação
Rondônia,18.0,2023,inundação
Piauí,13.0,2023,inundação
Amapá,12.0,2023,inundação
Maranhão,12.0,2023,inundação
Minas Gerais,11.0,2023,inundação
Roraima,11.0,2023,inundação
Tocantins,10.0,2023,inundação
Rio Grande do Norte,10.0,2023,inundação
Rio de Janeiro,10.0,2023,inundação
Pará,10.0,2023,inundação
Pernambuco,10.0,2023,inundação
Mato Grosso do Sul,10.0,2023,inundação
São Paulo,10.0,2023,inundação
Sergipe,10.0,2023,inundação
Goiás,10.0,2023,inundação
Paraná,9.0,2023,inundação
Paraíba,9.0,2023,inundação
Espírito Santo,9.0,2023,inundação
Mato Grosso,9.0,2023,inundação
Bahia,8.0,2023,inundação
Distrito Federal,8.0,2023,inundação
Ceará,7.0,2023,inundação
Santa Catarina,100.0,2022,Enchente
Rondônia,77.0,2022,Enchente
Alagoas,70.0,2022,Enchente
Minas Gerais,61.0,2022,Enchente
Amazonas,58.0,2022,Enchente
Espírito Santo,50.0,2022,Enchente
Rio de Janeiro,50.0,2022,Enchente
Pernambuco,49.0,2022,Enchente
Amapá,43.0,2022,Enchente
Rio Grande do Sul,38.0,2022,Enchente
Bahia,37.0,2022,Enchente
Acre,37.0,2022,Enchente
Mato Grosso,35.0,2022,Enchente
Tocantins,35.0,2022,Enchente
Goiás,34.0,2022,Enchente
Maranhão,31.0,2022,Enchente
São Paulo,31.0,2022,Enchente
Pará,30.0,2022,Enchente
Mato Grosso do Sul,28.0,2022,Enchente
Paraná,27.0,2022,Enchente
Sergipe,27.0,2022,Enchente
Piauí,27.0,2022,Enchente
Roraima,25.0,2022,Enchente
Rio Grande do Norte,23.0,2022,Enchente
Paraíba,22.0,2022,Enchente
Ceará,20.0,2022,Enchente
Distrito Federal,19.0,2022,Enchente
Piauí,100.0,2021,Alerta risco
Mato Grosso,90.0,2021,Alerta risco
Santa Catarina,72.0,2021,Alerta risco
Amazonas,72.0,2021,Alerta risco
Pará,72.0,2021,Alerta risco
Espírito Santo,72.0,2021,Alerta risco
Ceará,72.0,2021,Alerta risco
Minas Gerais,63.0,2021,Alerta risco
Paraíba,63.0,2021,Alerta risco
Bahia,63.0,2021,Alerta risco
Distrito Federal,54.0,2021,Alerta risco
Pernambuco,54.0,2021,Alerta risco
